,Activity Date,Activity ID,Activity Name,Activity Type,Elapsed Time,Max Heart Rate,Relative Effort,Elapsed Time.1,Moving Time,Max Heart Rate.1,Average Heart Rate,tavg,tmin,tmax,prcp,wdir,wspd,pres
100,2025-01-08,13318304269,tech on erg,Rowing,3706,154.0,12.0,3706.0,3706.0,154.0,109.392333984375,34.2,34.0,35.1,0.071,334.0,1.7,1033.7
101,2024-12-27,13318331709,Lunch Hike,Hike,3192,172.0,25.0,3192.0,3119.0,172.0,129.39987182617188,38.1,33.1,41.0,0.087,2.0,1.6,1005.5
102,2025-01-08,13318331860,Afternoon Row,Rowing,6321,187.0,99.0,6321.0,6260.0,187.0,142.9749755859375,34.2,34.0,35.1,0.071,334.0,1.7,1033.7
103,2025-01-09,13318331903,Afternoon Row,Rowing,6103,175.0,70.0,6103.0,5925.0,175.0,135.9996337890625,34.3,32.0,36.0,0.0,5.0,1.9,1036.2
104,2025-01-11,13328241479,Morning Row,Rowing,13600,203.0,246.0,13600.0,10929.0,203.0,150.1250762939453,33.6,30.9,42.1,0.0,340.0,1.8,1027.2
105,2025-01-10,13328521962,Altitude training pt2,Ride,1213,187.0,18.0,1213.0,1213.0,187.0,139.4814453125,32.5,30.9,34.0,0.063,253.0,5.1,1021.9
106,2025-01-10,13328522028,OYO row,Rowing,2106,166.0,57.0,2106.0,2106.0,166.0,154.87037658691406,32.5,30.9,34.0,0.063,253.0,5.1,1021.9
107,2025-01-10,13328522190,OYO bike,Ride,1807,152.0,23.0,1807.0,1807.0,152.0,139.9684600830078,32.5,30.9,34.0,0.063,253.0,5.1,1021.9
108,2025-01-10,13328522239,OYO run,Run,954,158.0,24.0,954.0,954.0,158.0,151.1774444580078,32.5,30.9,34.0,0.063,253.0,5.1,1021.9
109,2025-01-13,13345773569,LAST DAY OF WINTER CAMP,Rowing,7385,188.0,157.0,7385.0,7202.0,188.0,150.41555786132812,34.0,30.0,37.0,0.0,306.0,2.2,1033.0
110,2025-01-14,13380735708,OYO1 berg,Ride,1803,156.0,45.0,1803.0,1803.0,156.0,150.37271118164062,32.5,30.0,39.9,0.0,40.0,1.9,1034.6
111,2025-01-14,13380735907,OYO1 run,Run,623,172.0,19.0,623.0,619.0,172.0,158.82705688476562,32.5,30.0,39.9,0.0,40.0,1.9,1034.6
112,2025-01-15,13380735995,XTrain row,Rowing,1501,160.0,44.0,1501.0,1501.0,160.0,155.83010864257812,32.4,28.9,39.9,0.0,28.0,1.9,1032.6
113,2025-01-15,13380736218,XTrain bike,Ride,1566,144.0,17.0,1566.0,1566.0,144.0,136.1890106201172,32.4,28.9,39.9,0.0,28.0,1.9,1032.6
114,2025-01-15,13380736234,XTrain Stairs,Stair-Stepper,1163,138.0,5.0,1163.0,1163.0,138.0,131.52450561523438,32.4,28.9,39.9,0.0,28.0,1.9,1032.6
115,2025-01-16,13380736358,OYO2 berg,Ride,1342,158.0,22.0,1342.0,1342.0,158.0,142.5812225341797,30.0,27.0,32.0,0.0,312.0,2.5,1020.5
116,2025-01-16,13380736532,OYO2 row,Rowing,1261,172.0,34.0,1261.0,1261.0,172.0,154.72720336914062,30.0,27.0,32.0,0.0,312.0,2.5,1020.5
117,2025-01-17,13380736753,2k @ 28,Rowing,4510,191.0,83.0,4510.0,4510.0,191.0,144.73880004882812,26.8,19.9,33.1,0.0,354.0,0.8,1027.2
118,2025-01-17,13383367058,Afternoon Row,Rowing,5707,176.0,122.0,5707.0,5650.0,176.0,150.0111846923828,26.8,19.9,33.1,0.0,354.0,0.8,1027.2
119,2025-01-20,13409490632,ATish and Pilates,Rowing,3600,,,3600.0,3600.0,,,22.8,15.1,32.0,0.0,17.0,1.2,1038.4
120,2025-01-21,13418957363,XTrain Day 🔥,Workout,5083,174.0,95.0,5083.0,5083.0,174.0,144.66378784179688,26.4,21.0,35.1,0.0,354.0,0.7,1032.6
121,2025-01-21,13418957522,OYO1 🚴,Ride,2687,151.0,42.0,2687.0,2687.0,151.0,143.0811309814453,26.4,21.0,35.1,0.0,354.0,0.7,1032.6
