,Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Elapsed Time.1,Moving Time,Max Heart Rate.1,Average Heart Rate,Relative Effort.1
91,13281490366,2024-12-30,Morning Row,Rowing,2769,0,172.0,98.0,2769.0,2769.0,172.0,161.41928100585938,98.0
92,13281490427,2024-12-30,Morning Stair-Stepper,Stair-Stepper,1202,0,164.0,32.0,1202.0,1202.0,164.0,153.60897827148438,32.0
93,13292965882,2025-01-07,30’ test on the berg,Ride,5278,0,195.0,188.0,5278.0,5278.0,195.0,161.6960906982422,188.0
94,13294846958,2025-01-07,Afternoon Row,Rowing,5587,"16,114",182.0,83.0,5587.0,5475.0,182.0,141.1247100830078,83.0
95,13318302821,2025-01-10,Altitude Training on berg 🥵,Ride,3382,0,187.0,83.0,3382.0,3382.0,187.0,151.33885192871094,83.0
96,13318303584,2025-01-09,Stadiums 🏃‍♀️,Workout,1280,0,184.0,67.0,1280.0,1280.0,184.0,171.8054656982422,67.0
97,13318303711,2025-01-09,Circuit 💪🏻,Workout,1254,0,171.0,21.0,1254.0,1254.0,171.0,145.85885620117188,21.0
98,13318304129,2025-01-09,pilates 🧘‍♀️,Workout,1624,0,139.0,4.0,1624.0,1624.0,139.0,106.64286041259766,4.0
99,13318304135,2025-01-08,berg 🚴,Ride,2031,0,160.0,38.0,2031.0,2031.0,160.0,142.558837890625,38.0
100,13318304269,2025-01-08,tech on erg,Rowing,3706,0,154.0,12.0,3706.0,3706.0,154.0,109.392333984375,12.0
101,13318331709,2024-12-27,Lunch Hike,Hike,3192,3.95,172.0,25.0,3192.0,3119.0,172.0,129.39987182617188,25.0
102,13318331860,2025-01-08,Afternoon Row,Rowing,6321,"16,912",187.0,99.0,6321.0,6260.0,187.0,142.9749755859375,99.0
103,13318331903,2025-01-09,Afternoon Row,Rowing,6103,"15,048",175.0,70.0,6103.0,5925.0,175.0,135.9996337890625,70.0
104,13328241479,2025-01-11,Morning Row,Rowing,13600,"31,957",203.0,246.0,13600.0,10929.0,203.0,150.1250762939453,246.0
105,13328521962,2025-01-10,Altitude training pt2,Ride,1213,0,187.0,18.0,1213.0,1213.0,187.0,139.4814453125,18.0
106,13328522028,2025-01-10,OYO row,Rowing,2106,0,166.0,57.0,2106.0,2106.0,166.0,154.87037658691406,57.0
107,13328522190,2025-01-10,OYO bike,Ride,1807,0,152.0,23.0,1807.0,1807.0,152.0,139.9684600830078,23.0
108,13328522239,2025-01-10,OYO run,Run,954,2.33,158.0,24.0,954.0,954.0,158.0,151.1774444580078,24.0
109,13345773569,2025-01-13,LAST DAY OF WINTER CAMP,Rowing,7385,"21,661",188.0,157.0,7385.0,7202.0,188.0,150.41555786132812,157.0
110,13380735708,2025-01-14,OYO1 berg,Ride,1803,0,156.0,45.0,1803.0,1803.0,156.0,150.37271118164062,45.0
111,13380735907,2025-01-14,OYO1 run,Run,623,1.61,172.0,19.0,623.0,619.0,172.0,158.82705688476562,19.0
112,13380735995,2025-01-15,XTrain row,Rowing,1501,0,160.0,44.0,1501.0,1501.0,160.0,155.83010864257812,44.0
113,13380736218,2025-01-15,XTrain bike,Ride,1566,0,144.0,17.0,1566.0,1566.0,144.0,136.1890106201172,17.0
114,13380736234,2025-01-15,XTrain Stairs,Stair-Stepper,1163,0,138.0,5.0,1163.0,1163.0,138.0,131.52450561523438,5.0
115,13380736358,2025-01-16,OYO2 berg,Ride,1342,0,158.0,22.0,1342.0,1342.0,158.0,142.5812225341797,22.0
116,13380736532,2025-01-16,OYO2 row,Rowing,1261,0,172.0,34.0,1261.0,1261.0,172.0,154.72720336914062,34.0
117,13380736753,2025-01-17,2k @ 28,Rowing,4510,0,191.0,83.0,4510.0,4510.0,191.0,144.73880004882812,83.0
118,13383367058,2025-01-17,Afternoon Row,Rowing,5707,"16,454",176.0,122.0,5707.0,5650.0,176.0,150.0111846923828,122.0
119,13409490632,2025-01-20,ATish and Pilates,Rowing,3600,0,,,3600.0,3600.0,,,
120,13418957363,2025-01-21,XTrain Day 🔥,Workout,5083,0,174.0,95.0,5083.0,5083.0,174.0,144.66378784179688,95.0
121,13418957522,2025-01-21,OYO1 🚴,Ride,2687,0,151.0,42.0,2687.0,2687.0,151.0,143.0811309814453,42.0
122,13424084736,2025-01-22,6x500m w/ a cheeky burrito post workout (not pictured),Rowing,3979,0,205.0,82.0,3979.0,3979.0,205.0,147.32821655273438,82.0
123,13427876824,2025-01-23,Sunset Run!!,Run,1804,4.18,160.0,44.0,1804.0,1666.0,160.0,152.85169982910156,44.0
124,13427911199,2025-01-22,Wednesday Weights 🏋🏻,Weight Training,2863,0,148.0,9.0,2863.0,2863.0,148.0,109.7401351928711,9.0
125,13436669367,2025-01-23,OYO3,Ride,684,0,145.0,7.0,684.0,684.0,145.0,135.4780731201172,7.0
126,13436669414,2025-01-23,OYO2,Rowing,3105,0,152.0,37.0,3105.0,3105.0,152.0,136.91336059570312,37.0
127,13451340554,2025-01-25,5x1500 (24/28/Open/28/24),Rowing,7070,0,186.0,120.0,7070.0,7070.0,186.0,143.76406860351562,120.0
128,13451541466,2025-01-24,Afternoon Row,Rowing,5350,"16,098",177.0,104.0,5350.0,5036.0,177.0,146.5802459716797,104.0
129,13466692617,2025-01-27,"25’, 2x8’ @30’ pace, 20’",Rowing,5546,0,182.0,148.0,5546.0,5546.0,182.0,151.72195434570312,148.0
130,13485110987,2025-01-28,pilates 💪🏻,Workout,1782,0,102.0,3.0,1782.0,1782.0,102.0,87.97755432128906,3.0
131,13485111080,2025-01-28,tuesday walk w/ georgia :),Walk,2791,3.45,114.0,7.0,2791.0,2791.0,114.0,99.4872817993164,7.0
132,13485111186,2025-01-29,last 30’ of the season 🔥🔥🔥,Rowing,5466,0,198.0,127.0,5466.0,5466.0,198.0,151.5784912109375,127.0
133,13485111350,2025-01-28,circuit x stadiums/jump rope,Workout,3492,0,179.0,45.0,3492.0,3492.0,179.0,138.81729125976562,45.0
134,13488746685,2025-01-30,HUMP DAY RUN,Run,1474,3.75,163.0,38.0,1474.0,1456.0,163.0,153.51431274414062,38.0
135,13497518680,2025-01-29,Wednesday Weights,Weight Training,2901,0,138.0,7.0,2901.0,2901.0,138.0,101.5084457397461,7.0
136,13497518739,2025-01-30,OYO,Ride,2561,0,156.0,61.0,2561.0,2561.0,156.0,149.25302124023438,61.0
137,13506135018,2025-01-31,Afternoon Row,Rowing,4968,"14,341",175.0,59.0,4968.0,4679.0,175.0,134.59205627441406,59.0
138,13548002957,2025-01-31,gym date w/ roomie!,Workout,3017,0,133.0,9.0,3017.0,3017.0,133.0,112.01889038085938,9.0
139,13548003651,2025-02-03,~mondays~,Rowing,4079,0,175.0,80.0,4079.0,4079.0,175.0,144.51361083984375,80.0
140,13548003903,2025-02-04,xtraining and music trivia,Workout,5171,0,182.0,49.0,5171.0,5171.0,182.0,124.94488525390624,49.0
141,13548003915,2025-02-04,OYO,Ride,1950,0,162.0,36.0,1950.0,1950.0,162.0,145.62103271484375,36.0
142,13548004091,2025-02-05,2k prepared 😏,Rowing,4370,0,191.0,93.0,4370.0,4370.0,191.0,145.74966430664062,93.0
143,13550414696,2025-02-01,Morning Row,Rowing,8610,"19,963",175.0,72.0,8610.0,8050.0,175.0,129.33953857421875,72.0
144,13560178475,2025-02-06,Wed Weights!,Weight Training,3600,0,,,3600.0,3600.0,,,
145,13560181686,2025-02-06,OYO SWIM,Swim,3600,0,,,3600.0,3600.0,,,
146,13568986210,2025-02-07,NCAAs pt1 🔥,Rowing,2946,0,178.0,53.0,2946.0,2946.0,178.0,144.95010375976562,53.0
