Activity Date,Activity ID,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Elapsed Time.1,Moving Time,Max Heart Rate.1,Average Heart Rate
2025-01-10,13328522028,OYO row,Rowing,2106,0,166.0,57.0,2106.0,2106.0,166.0,154.87037658691406
2025-01-10,13328522190,OYO bike,Ride,1807,0,152.0,23.0,1807.0,1807.0,152.0,139.9684600830078
2025-01-10,13328522239,OYO run,Run,954,2.33,158.0,24.0,954.0,954.0,158.0,151.1774444580078
2025-01-13,13345773569,LAST DAY OF WINTER CAMP,Rowing,7385,"21,661",188.0,157.0,7385.0,7202.0,188.0,150.41555786132812
2025-01-14,13380735708,OYO1 berg,Ride,1803,0,156.0,45.0,1803.0,1803.0,156.0,150.37271118164062
2025-01-14,13380735907,OYO1 run,Run,623,1.61,172.0,19.0,623.0,619.0,172.0,158.82705688476562
2025-01-15,13380735995,XTrain row,Rowing,1501,0,160.0,44.0,1501.0,1501.0,160.0,155.83010864257812
2025-01-15,13380736218,XTrain bike,Ride,1566,0,144.0,17.0,1566.0,1566.0,144.0,136.1890106201172
2025-01-15,13380736234,XTrain Stairs,Stair-Stepper,1163,0,138.0,5.0,1163.0,1163.0,138.0,131.52450561523438
2025-01-16,13380736358,OYO2 berg,Ride,1342,0,158.0,22.0,1342.0,1342.0,158.0,142.5812225341797
2025-01-16,13380736532,OYO2 row,Rowing,1261,0,172.0,34.0,1261.0,1261.0,172.0,154.72720336914062
2025-01-17,13380736753,2k @ 28,Rowing,4510,0,191.0,83.0,4510.0,4510.0,191.0,144.73880004882812
2025-01-17,13383367058,Afternoon Row,Rowing,5707,"16,454",176.0,122.0,5707.0,5650.0,176.0,150.0111846923828
2025-01-20,13409490632,ATish and Pilates,Rowing,3600,0,,,3600.0,3600.0,,
2025-01-21,13418957363,XTrain Day 🔥,Workout,5083,0,174.0,95.0,5083.0,5083.0,174.0,144.66378784179688
2025-01-21,13418957522,OYO1 🚴,Ride,2687,0,151.0,42.0,2687.0,2687.0,151.0,143.0811309814453
2025-01-22,13424084736,6x500m w/ a cheeky burrito post workout (not pictured),Rowing,3979,0,205.0,82.0,3979.0,3979.0,205.0,147.32821655273438
2025-01-23,13427876824,Sunset Run!!,Run,1804,4.18,160.0,44.0,1804.0,1666.0,160.0,152.85169982910156
2025-01-22,13427911199,Wednesday Weights 🏋🏻,Weight Training,2863,0,148.0,9.0,2863.0,2863.0,148.0,109.7401351928711
2025-01-23,13436669367,OYO3,Ride,684,0,145.0,7.0,684.0,684.0,145.0,135.4780731201172
2025-01-23,13436669414,OYO2,Rowing,3105,0,152.0,37.0,3105.0,3105.0,152.0,136.91336059570312
2025-01-25,13451340554,5x1500 (24/28/Open/28/24),Rowing,7070,0,186.0,120.0,7070.0,7070.0,186.0,143.76406860351562
2025-01-24,13451541466,Afternoon Row,Rowing,5350,"16,098",177.0,104.0,5350.0,5036.0,177.0,146.5802459716797
2025-01-27,13466692617,"25’, 2x8’ @30’ pace, 20’",Rowing,5546,0,182.0,148.0,5546.0,5546.0,182.0,151.72195434570312
2025-01-28,13485110987,pilates 💪🏻,Workout,1782,0,102.0,3.0,1782.0,1782.0,102.0,87.97755432128906
2025-01-28,13485111080,tuesday walk w/ georgia :),Walk,2791,3.45,114.0,7.0,2791.0,2791.0,114.0,99.4872817993164
2025-01-29,13485111186,last 30’ of the season 🔥🔥🔥,Rowing,5466,0,198.0,127.0,5466.0,5466.0,198.0,151.5784912109375
2025-01-28,13485111350,circuit x stadiums/jump rope,Workout,3492,0,179.0,45.0,3492.0,3492.0,179.0,138.81729125976562
2025-01-30,13488746685,HUMP DAY RUN,Run,1474,3.75,163.0,38.0,1474.0,1456.0,163.0,153.51431274414062
2025-01-29,13497518680,Wednesday Weights,Weight Training,2901,0,138.0,7.0,2901.0,2901.0,138.0,101.5084457397461
2025-01-30,13497518739,OYO,Ride,2561,0,156.0,61.0,2561.0,2561.0,156.0,149.25302124023438
2025-01-31,13506135018,Afternoon Row,Rowing,4968,"14,341",175.0,59.0,4968.0,4679.0,175.0,134.59205627441406
2025-01-31,13548002957,gym date w/ roomie!,Workout,3017,0,133.0,9.0,3017.0,3017.0,133.0,112.01889038085938
2025-02-03,13548003651,~mondays~,Rowing,4079,0,175.0,80.0,4079.0,4079.0,175.0,144.51361083984375
2025-02-04,13548003903,xtraining and music trivia,Workout,5171,0,182.0,49.0,5171.0,5171.0,182.0,124.94488525390624
2025-02-04,13548003915,OYO,Ride,1950,0,162.0,36.0,1950.0,1950.0,162.0,145.62103271484375
2025-02-05,13548004091,2k prepared 😏,Rowing,4370,0,191.0,93.0,4370.0,4370.0,191.0,145.74966430664062
2025-02-01,13550414696,Morning Row,Rowing,8610,"19,963",175.0,72.0,8610.0,8050.0,175.0,129.33953857421875
2025-02-06,13560178475,Wed Weights!,Weight Training,3600,0,,,3600.0,3600.0,,
2025-02-06,13560181686,OYO SWIM,Swim,3600,0,,,3600.0,3600.0,,
2025-02-07,13568986210,NCAAs pt1 🔥,Rowing,2946,0,178.0,53.0,2946.0,2946.0,178.0,144.95010375976562
2025-02-08,13574884213,NCAAs pt2 🔥 🔥,Rowing,4015,0,183.0,43.0,4015.0,4015.0,183.0,133.1255340576172
2025-02-09,13586690630,Afternoon Snowshoe,Snowshoe,4337,3.10,160.0,20.0,4337.0,3595.0,160.0,121.77815246582033
2025-02-10,13594041165,looong monday,Rowing,5156,0,162.0,89.0,5156.0,5156.0,162.0,142.4691619873047
2025-02-11,13600292286,xtraining,Workout,4709,0,179.0,84.0,4709.0,4709.0,179.0,136.69271850585938
2025-02-12,13609528979,hump day 🐪,Rowing,5449,0,174.0,99.0,5449.0,5449.0,174.0,142.5428466796875
2025-02-15,13643244845,saturday 8s,Rowing,58017,"8,702",161.0,23.0,58017.0,3637.0,161.0,122.3851318359375
2025-02-16,13645624941,sunday 8s!,Rowing,5088,"13,397",165.0,24.0,5088.0,4834.0,165.0,119.30066680908205
2025-02-16,13646640575,sunday pair!,Rowing,3270,"3,413",150.0,10.0,3270.0,3086.0,150.0,112.7742691040039
2025-02-17,13652295352,sunday pair!!,Rowing,3898,"9,563",156.0,45.0,3898.0,3824.0,156.0,137.03707885742188
2025-02-17,13655104612,monday pair!,Rowing,1018,"1,874",155.0,7.0,1018.0,996.0,155.0,125.71885681152344
2025-02-17,13655104787,final pracy!,Rowing,4987,"11,477",168.0,45.0,4987.0,4608.0,168.0,131.25967407226562
